;Star ID;RA;DE;Magnitude
1;307;0.47478673;1.55384598;2.1
2;7592;-3.00476247;1.22284051;3.9
3;8101;-2.39621742;1.2978248;2.2
4;8219;-2.26548485;1.25684539;3.1
5;9086;-1.47498655;1.26905872;3.7
6;9539;-1.09802567;1.2241863;4
7;10056;-0.66312868;1.22768326;3.3
8;10817;-0.09915411;1.35006905;3.4
9;11481;0.23418858;1.05499035;2.8
10;12030;0.48333826;1.10697455;3.4
11;14572;2.20839645;1.06268522;3.5
12;14907;2.4766633;1.10447882;3.8
13;15383;2.88267088;1.08247647;2
14;16272;-2.60476115;1.12773272;3.6
15;17073;-1.99269505;1.07559357;2.9
16;17364;-1.79491507;1.14800966;3.2
17;18221;-1.25425003;1.17938215;3.2
18;19018;-0.85401228;1.07589299;3.6
19;19301;-0.7095359;1.08861877;2.6
20;20267;-0.31462438;1.15082066;3.7
21;21132;0.02834233;1.02754694;2.4
22;21565;0.14910443;0.93588152;3.7
23;21608;0.16430189;0.98198332;2.5
24;21731;0.20097795;1.00445226;3.6
25;22267;0.3600831;1.04678236;2.8
26;23654;0.72881569;0.97196625;4
27;23788;0.79045925;0.93047522;3.1
28;25501;1.55076272;0.94742357;3.9
29;27288;2.48502081;0.90593826;3.3
30;27400;2.5632416;1.03454542;3.9
31;27875;2.87472099;0.98874415;2.4
32;28178;3.10323658;0.94200258;2.5
33;28314;-3.08504515;1.0002528;3.4
34;28552;-2.91542095;0.98141386;1.7
35;28736;-2.78416987;0.96317672;2.4
36;28737;-2.784105;0.96311452;4
37;28750;-2.77845675;0.96426043;4
38;29519;-2.25229351;1.03219819;3.5
39;30428;-1.70474969;0.91346485;3
40;30630;-1.60281583;0.99274173;3.9
41;30652;-1.59068027;0.89874048;2.4
42;31536;-1.23941749;0.92983327;4
43;31701;-1.1848841;0.90098255;3.9
44;33692;-0.60224759;1.02189343;4
45;34136;-0.48382447;1.01149345;3.6
46;34507;-0.40444158;1.01506294;4
47;34541;-0.39607643;0.87310076;3.9
48;37374;0.41412562;0.84431592;3.8
49;37733;0.52717503;0.73462368;2.3
50;38591;0.80680434;0.711476;2.9
51;38608;0.81206941;0.7796299;4
52;38786;0.87589647;0.86716703;1.9
53;39052;0.95711246;0.83129228;3.1
54;39077;0.96773279;0.74041046;3.9
55;39335;1.06910951;0.83044598;4
56;39954;1.30190873;0.76360753;3.5
57;39965;1.30453764;0.71567124;3.9
58;40025;1.32210247;0.7185345;3.3
59;40185;1.36568131;0.80196929;0.2
60;40749;1.55273065;0.78443188;2.1
61;42629;2.33784135;0.84193738;3.1
62;42660;2.35715922;0.82651419;3.7
63;43267;2.67946969;0.75336914;3.5
64;43309;2.70245829;0.72870526;3.2
65;43628;2.90972443;0.78138686;3.1
66;43885;3.0692364;0.83874784;3.9
67;44751;-2.68094978;0.86502459;1.9
68;45336;-2.35592804;0.70837484;3.6
69;46027;-2.01482946;0.81038352;3.9
70;46871;-1.66656661;0.80341035;3.8
71;48795;-1.11957991;0.78553503;3
72;49336;-0.99459456;0.81312892;4
73;49527;-0.95804562;0.69980227;2.3
74;49940;-0.87386169;0.78715862;1.3
75;50273;-0.80587537;0.71512854;4
76;50423;-0.77182903;0.76319045;3.9
77;52608;-0.26348122;0.73403274;3.6
78;53203;-0.10860892;0.80611823;4
79;54057;0.15990547;0.53385642;3.5
80;54280;0.23548565;0.66721508;3.9
